City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
315,marat,25.0701,45.4615,30.32,15,0,5.19,SA,1696097620
316,kayangel,8.0823,134.7173,27.92,82,96,7.98,PW,1696097620
317,acarau,-2.8856,-40.12,30.32,56,12,10.08,BR,1696097620
318,arraial do cabo,-22.9661,-42.0278,23.98,64,75,8.23,BR,1696097602
319,suntar,62.1444,117.6319,10.08,84,100,2.67,RU,1696097620
320,kalymnos,36.95,26.9833,22.74,64,20,5.66,GR,1696097621
321,tralee,52.2704,-9.7026,15.96,92,100,5.24,IE,1696097621
322,lagos,6.5833,3.75,29.18,82,50,2.12,NG,1696097621
323,am timan,11.0297,20.2827,22.09,90,100,2.93,TD,1696097622
324,popondetta,-8.7537,148.2534,22.96,97,100,1.14,PG,1696097622
325,buon ma thuot,12.6667,108.05,20.91,99,52,0.69,VN,1696097622
326,mogadishu,2.0371,45.3438,25.95,87,7,5.84,SO,1696097362
327,makubetsu,45.3714,141.8211,14.9,88,100,2.24,JP,1696097622
328,merizo village,13.2658,144.6691,27.31,96,94,2.18,GU,1696097623
329,pucon,-39.2822,-71.9543,18.92,44,89,0.9,CL,1696097623
330,hadibu,12.65,54.0333,27.19,82,100,0.98,YE,1696097623
331,karystos,38.0133,24.4161,25.23,30,49,2.24,GR,1696097623
332,vilyuysk,63.7553,121.6247,6.76,83,100,3.58,RU,1696097624
333,tual,-5.6667,132.75,25.78,85,99,4.34,ID,1696097624
334,kudahuvadhoo,2.6708,72.8944,28.47,76,89,4.35,MV,1696097624
335,nova sintra,14.8667,-24.7167,23.66,81,61,5.79,CV,1696097624
336,jinka,5.65,36.65,19.26,79,87,1.53,ET,1696097625
337,vorgashor,67.5833,63.95,2.06,92,100,8.3,RU,1696097625
338,novyy urgal,51.0736,132.5642,6.11,93,99,1.55,RU,1696097625
339,mili,6.0815,171.735,27.59,76,98,3.64,MH,1696097625
340,bereeda,11.8704,51.0579,27.73,75,12,2.71,SO,1696097626
341,vershino-darasunskiy,52.35,115.5167,5.23,71,24,1.21,RU,1696097626
342,nushki,29.5542,66.0215,18.7,17,0,0.15,PK,1696097626
343,hammerfest,70.6634,23.6821,7.25,93,100,3.09,NO,1696097626
344,rio grande,-32.035,-52.0986,17.06,70,100,3.23,BR,1696097626
345,morondava,-20.2833,44.2833,25.62,78,25,4.09,MG,1696097627
346,tianpeng,30.9866,103.9393,22.57,85,100,1.5,CN,1696097627
347,piti village,13.4626,144.6933,27.49,91,40,1.54,GU,1696097627
348,primero de mayo,-32.2552,-58.4228,19.34,27,1,3.89,AR,1696097628
349,princeville,45.7668,-61.2985,22.57,63,0,2.57,CA,1696097628
350,guasdualito,7.2424,-70.7324,34.7,46,99,1.36,VE,1696097628
351,tamontaka,7.1806,124.2256,27.26,76,100,2.14,PH,1696097628
352,menaka,15.9182,2.4022,39.43,14,35,4.81,ML,1696097628
353,chesma,53.8111,60.6533,7.87,93,53,2.54,RU,1696097629
354,hithadhoo,-0.6,73.0833,27.22,81,58,5.94,MV,1696097629
355,kalabo,-14.97,22.6814,28.6,27,92,0.99,ZM,1696097629
356,goure,13.9835,10.2704,29.53,49,98,0.88,NE,1696097629
357,northam,51.0333,-4.2167,18.14,91,89,11.81,GB,1696097630
358,marka,1.7159,44.7717,25.76,88,5,5.54,SO,1696097630
359,howick,-29.4779,30.2306,14.18,93,1,2.81,ZA,1696097424
360,sanand,22.9833,72.3833,29.12,44,34,2.04,IN,1696097630
361,yulinshi,38.2906,109.7494,13.45,30,1,2.43,CN,1696097631
362,charters towers,-20.1,146.2667,16.56,96,68,3.1,AU,1696097631
363,caucete,-31.6518,-68.2811,21.3,21,0,0.73,AR,1696097631
364,laojunmiao,39.8333,97.7333,10.72,25,100,4.23,CN,1696097631
